"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"1B","Jeff Baker",2000,"Mia@NYM 07:10PM ET",0,"Mia"
"OF","Nate McLouth",2000,"Atl@Was 07:05PM ET",0,"Was"
"3B","Don Kelly",2000,"Mia@NYM 07:10PM ET",0,"Mia"
"1B/C","Erik Kratz",2000,"KC@Hou 08:10PM ET",0.000,"Hou"
"2B/3B","Maicer Izturis",2000,"NYY@Tor 07:07PM ET",0,"Tor"
"2B/SS","Justin Sellers",2000,"SD@Phi 07:05PM ET",0,"SD"
"C","John Hester",2000,"LAA@Oak 10:05PM ET",0,"LAA"
"OF","Gorkys Hernández",2000,"SF@Col 08:40PM ET",0,"SF"
"C","Jesús Sucre",2000,"Tex@Sea 10:10PM ET",0,"Sea"
"1B","Josh Satin",2000,"SD@Phi 07:05PM ET",0,"SD"
"OF","César Puello",2000,"NYY@Tor 07:07PM ET",0,"NYY"
"2B","Taylor Lindsey",2000,"SD@Phi 07:05PM ET",0,"SD"
"C","Brett Nicholas",2000,"Tex@Sea 10:10PM ET",12.000,"Tex"
"1B","Greg Bird",2000,"NYY@Tor 07:07PM ET",0,"NYY"
"OF","Terrance Gore",2000,"KC@Hou 08:10PM ET",2.000,"KC"
